SpecCode,Species,Genus,Fresh,Brack,Saltwater,DemersPelag,Amphibious,AmphibiousRef,Length,AddRems,done,our_remarks,ref
14560,Anoplocapros lenticularis,Anoplocapros,0,0,-1,demersal,NA,NA,33,NA,TRUE,"reefs, seagrass, temperate","https://fishesofaustralia.net.au/home/species/832#:~:text=Endemic%20to%20temperate%20waters%20of,in%20the%20Great%20Australian%20Bight."
14561,Aracana aurita,Aracana,0,0,-1,demersal,NA,NA,20,NA,TRUE,,
14564,Caprichthys gymnura,Caprichthys,0,0,-1,demersal,NA,NA,11,NA,TRUE,,
58334,Abalistes stellatus,Abalistes,0,0,-1,reef-associated,NA,NA,60,NA,TRUE,,
NA,Melichthys indicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
NA,Rhinecanthus aculeatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
14573,Allomycterus pilatus,Allomycterus,0,0,-1,demersal,NA,NA,50,NA,TRUE,,
4659,Diodon holocanthus,Diodon,0,0,-1,reef-associated,NA,NA,50,"Inhabits lagoon and seaward reefs (Ref. 37816, 58534) to open shallow, soft bottoms. Occurs on open muddy substrates as well as on rich soft-bottom and coral reefs.  Also in areas with rocky substrata. Young and sub-adults may form small groups (Ref. 48637).  Juveniles pelagic to about 6-9 cm.  Solitary.  Feeds on mollusks, sea urchins, hermit crabs, shellfish and crabs at  night  (Ref. 9680, 54301).  Mobile-invertebrate feeder (Ref. 57615, 57616).  A relatively poor swimmer (Ref. 9710).",TRUE,,
7849,Acreichthys tomentosus,Acreichthys,0,0,-1,reef-associated,NA,NA,14,"Adults inhabit sand and seagrass areas of protected lagoon reefs (Ref. 37816). Larval forms occur in mangrove waters (Ref. 43081).  Major food items include amphipods, seaweeds, seagrasses, polychaetes and molluscs (Ref. 58881).",TRUE,,
4275,Aluterus scriptus,Aluterus,0,0,-1,reef-associated,NA,NA,110,"Inhabits lagoon and seaward reefs (Ref. 9710). Occasionally are seen under floating objects (Ref. 1602).  Feeds on algae, seagrass, hydrozoans, gorgonians, colonial anemones, and tunicates. Feeds on benthic invertebrates and plants (Ref. 33).  Omnivore (Ref. 57615, 57616).",TRUE,,
6672,Amanses scopas,Amanses,0,0,-1,reef-associated,NA,NA,20,"Occurs in areas of mixed sand, rubble, and coral heads of semi-protected seaward reefs.   Less approachable than most filefishes (Ref. 9710).",TRUE,,
NA,Chaetoderma penicilligera,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
14535,Eubalichthys bucephalus,Eubalichthys,0,-1,-1,demersal,NA,NA,50,NA,TRUE,,
NA,Oxymonacanthus longirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
NA,Paraluteres prionurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
NA,Pervagor aspricaudus,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
NA,Pseudomonacanthus macrurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
14550,Acanthaluteres vittiger,Acanthaluteres,0,0,-1,demersal,NA,NA,35,NA,TRUE,,
92,Acanthostracion quadricornis,Acanthostracion,0,0,-1,reef-associated,NA,NA,55,"Occurs in shallow waters, mainly over seagrass beds (Ref. 33, 3696).  Found in shallow water down to about 80 m (Ref. 3696).  Feeds on sessile invertebrates such as tunicates, gorgonians and anemones, as well as on slow-moving crustaceans, sponges (Ref. 3696), hermit crabs and marine plants (Ref. 13442).",TRUE,,
NA,Lactoria cornuta,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
NA,Lactoria fornasini,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
NA,Ostracion cubicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
6543,Canthigaster janthinoptera,Canthigaster,0,0,-1,reef-associated,NA,NA,9,It is solitary or may be found in pairs.  Feeds on plants and benthic invertebrates (Ref. 1602).,TRUE,,
NA,Lagocephalus spadiceus,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
NA,Torquigener parcuspinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
NA,Pseudotriacanthus strigilifer,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
NA,Halimochirurgus platycheilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
NA,Hollardia meadi,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,,
14558,Anoplocapros amygdaloides,Anoplocapros,0,0,-1,demersal,NA,NA,30,NA,FALSE,,
14559,Anoplocapros inermis,Anoplocapros,0,0,-1,demersal,NA,NA,37,NA,FALSE,,
14566,Capropygia unistriata,Capropygia,0,0,-1,demersal,NA,NA,12,NA,FALSE,,
NA,Kentrocapros rosapinto aculeatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
62612,Abalistes filamentosus,Abalistes,0,0,-1,pelagic-neritic,NA,NA,32.5,NA,FALSE,,
6025,Balistapus undulatus,Balistapus,0,0,-1,reef-associated,NA,NA,30,"Occurs in coral-rich (Ref. 58534) areas of deep lagoon and seaward reefs from the lower surge zone to at least 50 meters (Ref. 48637).  Feeds on a variety of benthic organisms such as algae,  coral, molluscs, worms, echinoderms, fishes, mollusks, tunicates, sponges, and hydrozoans (Ref. 54301).  Has a territorial nature.   They seek shelter in coral crevices when threatened or when retiring for the night.",FALSE,,
7327,Balistes capriscus,Balistes,0,0,-1,reef-associated,NA,NA,60,"Inhabits bays, harbors, lagoons, and seaward reefs (Ref. 9710).  Abundant along coasts (Ref. 122936).  May drift with young at surface among <i>Sargassum</i> (Ref. 9710). Feeds on benthic invertebrates like mollusks and crustaceans (Ref. 4727).",FALSE,,
4276,Balistes polylepis,Balistes,0,0,-1,reef-associated,NA,NA,76,"Occurs in rocky reefs, boulder strewn slopes and adjacent areas of sand.  Adults demersal; young pelagic (Ref. 2850).  Feeds on sea urchins, small crustaceans and mollusks (Ref. 5227).  Omnivore (Ref. 57615).",FALSE,,
19,Balistes vetula,Balistes,0,0,-1,reef-associated,NA,NA,60,"Found in coral reef environments, near the bottom, from shallow sandy or grassy areas to the upper slope of the reef.  Employs different feeding behaviours to capture and manipulate different type of prey, for example, it uses suction feeding to capture worms and other soft prey, while it feeds on crabs and sea urchins by directly biting off parts of the prey (Ref. 45549).  Sessile invertebrate feeder (Ref. 57616).",FALSE,,
2300,Balistoides conspicillum,Balistoides,0,-1,-1,reef-associated,NA,NA,50,"The habitat consists of clear waters of outer reef slopes at depth between about 5 and 75 m.  Juveniles are very secretive, mainly confining themselves to caves below 20 m depth on steep drop offs (Ref. 54301).  Lives in clear coastal to outer reef habitats (Ref. 48637).  A solitary species (Ref. 9710).  Uncommon to rare throughout most of its range (Ref. 9770).  Adults usually seen along deep drop-offs, swimming about openly and may retreat to caves when approached.  Juveniles secretive in small caves with rich invertebrate growth (Ref. 48637).  Diet consists of sea urchins, crabs and other crustaceans, mollusks, and tunicates (Ref. 9770).",FALSE,,
6026,Balistoides viridescens,Balistoides,0,0,-1,reef-associated,NA,NA,75,NA,FALSE,,
4278,Canthidermis maculata,Canthidermis,0,0,-1,reef-associated,NA,NA,50,"Found in shallow coastal and offshore waters (Ref. 9276, 11230).  Epipelagic nearly all throughout life, often associated with drifting objects (Ref. 1602, 44187).  May occur on deep rocky slopes (Ref. 7251).  Appear to school in large numbers based on catches from set nets (Ref. 637).  Occasionally occur off current-swept points (Ref. 37816).",FALSE,,
4279,Canthidermis sufflamen,Canthidermis,0,0,-1,reef-associated,NA,NA,65,Common near drop-offs of seaward reefs (Ref. 9710).  Occasionally in shallow water.  Solitary or in small groups in open water.  Often associated with <i>Sargassum</i> (Ref. 9710).  Feeds mainly on large zooplankton.  Minimum depth reported from Ref. 13121.,FALSE,,
NA,Melichthys niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Melichthys vidua,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Odonus niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Pseudobalistes flavimarginatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Pseudobalistes fuscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Rhinecanthus assasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Rhinecanthus lunula,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Rhinecanthus rectangulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Sufflamen bursa,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Sufflamen chrysopterum,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Sufflamen fraenatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Sufflamen verres,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Xanthichthys auromarginatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Xanthichthys caeruleolineatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Xanthichthys lineopunctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Xanthichthys mento,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Xanthichthys ringens,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
NA,Xenobalistes tumidipectoris,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
3258,Antigonia capros,Antigonia,0,0,-1,demersal,NA,NA,30.5,"Found on continental slope.  Benthic species (Ref. 75154).  Juveniles occur in mid water.  Feed on small molluscs and crustaceans.  Also consume hyperiid amphipods, euphausiids and small squid (Ref. 54164).",FALSE,,
NA,Cyttus novaezelandiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
4299,Chilomycterus antennatus,Chilomycterus,0,0,-1,reef-associated,NA,NA,38,NA,FALSE,,
NA,Chilomycterus geometricus,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,
