Species,final_hab
Abalistes filamentosus,non_reef
Abalistes stellatus,reef_facultative
Acanthaluteres spilomelanurus,non_reef
Acanthaluteres vittiger,reef_facultative
Acanthostracion polygonius,reef_obligate
Acanthostracion quadricornis,non_reef
Acreichthys tomentosus,reef_facultative
Allomycterus pilatus,non_reef
Aluterus heudelotii,non_reef
Aluterus monoceros,non_reef
Aluterus scriptus,reef_obligate
Amanses scopas,reef_obligate
Anacanthus barbatus,non_reef
Anoplocapros amygdaloides,reef_facultative
Anoplocapros inermis,reef_facultative
Anoplocapros lenticularis,reef_facultative
Aracana aurita,reef_facultative
Arothron hispidus,reef_facultative
Arothron meleagris,reef_obligate
Arothron nigropunctatus,reef_obligate
Arothron reticularis,reef_facultative
Arothron stellatus,reef_obligate
Auriglobus nefastus,non_reef
Balistapus undulatus,reef_obligate
Balistes capriscus,reef_obligate
Balistes polylepis,reef_facultative
Balistes vetula,reef_facultative
Balistoides conspicillum,reef_obligate
Balistoides viridescens,reef_obligate
Brachaluteres jacksonianus,reef_facultative
Brachaluteres taylori,reef_facultative
Cantherhines dumerilii,reef_obligate
Cantherhines fronticinctus,reef_obligate
Cantherhines longicaudus,reef_obligate
Cantherhines nukuhiva,reef_obligate
Cantherhines pardalis,reef_obligate
Cantherhines pullus,reef_obligate
Cantherhines sandwichiensis,reef_obligate
Cantheschenia grandisquamis,reef_facultative
Canthidermis maculata,non_reef
Canthidermis sufflamen,reef_facultative
Canthigaster axiologus,reef_facultative
Canthigaster bennetti,reef_facultative
Canthigaster coronata,reef_facultative
Canthigaster cyanospilota,reef_facultative
Canthigaster jactator,reef_obligate
Canthigaster janthinoptera,reef_obligate
Canthigaster marquesensis,reef_obligate
Canthigaster punctatissima,reef_obligate
Canthigaster rapaensis,reef_obligate
Canthigaster rostrata,reef_facultative
Canthigaster solandri,reef_facultative
Canthigaster valentini,reef_obligate
Caprichthys gymnura,reef_facultative
Capropygia unistriata,reef_facultative
Carinotetraodon salivator,non_reef
Chaetoderma penicilligera,non_reef
Chelonodon patoca,reef_facultative
Chilomycterus antennatus,reef_facultative
Chilomycterus reticulatus,reef_facultative
Chilomycterus schoepfii,reef_facultative
Chilomycterus spinosus,reef_facultative
Chonerhinos naritus,non_reef
Colomesus asellus,non_reef
Diodon holocanthus,reef_facultative
Diodon hystrix,reef_obligate
Diodon liturosus,reef_obligate
Diodon nicthemerus,reef_facultative
Eubalichthys bucephalus,reef_obligate
Eubalichthys caeruleoguttatus,reef_obligate
Eubalichthys gunnii,reef_obligate
Eubalichthys mosaicus,reef_obligate
Eubalichthys quadrispinis,non_reef
Feroxodon multistriatus,non_reef
Halimochirurgus alcocki,non_reef
Halimochirurgus centriscoides,non_reef
Halimochirurgus platycheilus,non_reef
Hollardia hollardia,non_reef
Hollardia meadi,non_reef
Kentrocapros rosapinto aculeatus,non_reef
Lactophrys trigonus,reef_facultative
Lactophrys triqueter,reef_facultative
Lactoria cornuta,reef_facultative
Lactoria diaphana,reef_facultative
Lactoria fornasini,reef_facultative
Lagocephalus cheesemanii,non_reef
Lagocephalus guentheri,non_reef
Lagocephalus laevigatus,non_reef
Lagocephalus sceleratus,non_reef
Lagocephalus spadiceus,non_reef
Marilyna darwinii,non_reef
Masturus lanceolatus,non_reef
Melichthys indicus,reef_obligate
Melichthys niger,reef_obligate
