x,row names,Fine_habitat,Habitat,Habitat_color,Color_family,Color_superfamily,Water,Water_color,Inc_brackish,IB_color,Mouth_type,mouth_color
Aracanidae_Anoplocapros_amygdaloides_EPLATE_53_C05,Aracanidae_Anoplocapros_amygdaloides_EPLATE_53_C05,nonreef,nonreef,grey,darkgoldenrod,#FDC500,marine,red,,,nonbeak,orange
Aracanidae_Anoplocapros_inermis_EPLATE_53_A05,Aracanidae_Anoplocapros_inermis_EPLATE_53_A05,nonreef,nonreef,grey,darkgoldenrod,#FDC500,marine,red,,,nonbeak,orange
Aracanidae_Anoplocapros_lenticularis_EPLATE_53_B05,Aracanidae_Anoplocapros_lenticularis_EPLATE_53_B05,nonreef,nonreef,grey,darkgoldenrod,#FDC500,marine,red,,,nonbeak,orange
Aracanidae_Aracana_aurita_EPLATE_53_H04,Aracanidae_Aracana_aurita_EPLATE_53_H04,nonreef,nonreef,grey,darkgoldenrod,#FDC500,marine,red,,,nonbeak,orange
Aracanidae_Caprichthys_gymnura_EPLATE_53_G04,Aracanidae_Caprichthys_gymnura_EPLATE_53_G04,nonreef,nonreef,grey,darkgoldenrod,#FDC500,marine,red,,,nonbeak,orange
Aracanidae_Capropygia_unistriata_EPLATE_53_F04,Aracanidae_Capropygia_unistriata_EPLATE_53_F04,nonreef,nonreef,grey,darkgoldenrod,#FDC500,marine,red,,,nonbeak,orange
Aracanidae_Kentrocapros_rosapinto_aculeatus_T0022,Aracanidae_Kentrocapros_rosapinto_aculeatus_T0022,nonreef,nonreef,grey,darkgoldenrod,#FDC500,marine,red,,,nonbeak,orange
Balistidae_Abalistes_filamentosus_EPLATE_51_B12,Balistidae_Abalistes_filamentosus_EPLATE_51_B12,nonreef,nonreef,grey,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Abalistes_stellatus_T0002,Balistidae_Abalistes_stellatus_T0002,low_reef,nonreef,grey,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Balistapus_undulatus_T0009,Balistidae_Balistapus_undulatus_T0009,mod_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Balistes_capriscus_USNMAD9NF67,Balistidae_Balistes_capriscus_USNMAD9NF67,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Balistes_polylepis_USNMAG7PC77,Balistidae_Balistes_polylepis_USNMAG7PC77,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Balistes_vetula_UPRFL0353,Balistidae_Balistes_vetula_UPRFL0353,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Balistoides_conspicillum_T0013,Balistidae_Balistoides_conspicillum_T0013,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Balistoides_viridescens_USNMAG9RF59,Balistidae_Balistoides_viridescens_USNMAG9RF59,mod_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Canthidermis_maculata_T0015,Balistidae_Canthidermis_maculata_T0015,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Canthidermis_sufflamen_USNMAC7BZ85,Balistidae_Canthidermis_sufflamen_USNMAC7BZ85,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Melichthys_indicus_T0029,Balistidae_Melichthys_indicus_T0029,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Melichthys_niger_UPRFL0061,Balistidae_Melichthys_niger_UPRFL0061,mod_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Melichthys_vidua_STRIBFT11786,Balistidae_Melichthys_vidua_STRIBFT11786,mod_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Odonus_niger_USNMAG7PW08,Balistidae_Odonus_niger_USNMAG7PW08,mod_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Pseudobalistes_flavimarginatus_T0067,Balistidae_Pseudobalistes_flavimarginatus_T0067,mod_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Pseudobalistes_fuscus_USNMAG9RP93,Balistidae_Pseudobalistes_fuscus_USNMAG9RP93,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Rhinecanthus_aculeatus_USNMAG9RU13,Balistidae_Rhinecanthus_aculeatus_USNMAG9RU13,mod_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
